source_record,env,guid,game_id,won,total_actions,levels_completed,annotation_elements,annotation_chars,review_role
234,ar25,e8c9d67c-83a5-4352-bd16-575577dabfd2.recording,ar25-0c556536,0,59,[0],1,9443,comparison
235,ar25,2a854897-cb79-48f4-92e1-0288df2cf6a9.recording,ar25-0c556536,1,1621,[8],8,56177,primary
236,ar25,03665144-5518-4e4b-af99-ec7fe6ab546d.recording,ar25-0c556536,0,968,[5],5,30665,
237,sb26,f471f3fd-7867-41d9-9a75-57e917278f7e.recording,sb26-7fbdac44,0,134,[4],4,15492,comparison
238,sb26,005a84c0-2969-488b-baa1-d57e68866b33.recording,sb26-7fbdac44,1,256,[8],8,42611,
239,sb26,441ddef6-1d8d-4f84-9416-ac5fd969ff58.recording,sb26-7fbdac44,1,244,[8],8,37695,
240,sb26,50c5f0cd-23e5-45f6-a668-22a6d097f047.recording,sb26-7fbdac44,0,46,[0],1,9744,
241,sb26,0a3dac2e-1302-46df-b6ca-6250f3c1b6e1.recording,sb26-7fbdac44,1,153,[8],8,31295,
242,sb26,72305960-4a13-4d9f-9044-463185ec707a.recording,sb26-7fbdac44,1,151,[8],8,24275,
243,sb26,ffef2c25-8ea9-4a2b-a4a5-a109bbfc5156.recording,sb26-7fbdac44,0,165,[4],4,21702,
244,sb26,06c7cb54-5e41-4599-bfc4-6983ca16b671.recording,sb26-7fbdac44,1,431,[8],8,50409,primary
245,sb26,ba4a3c59-7991-4157-9f4e-3fdb9f6711a7.recording,sb26-7fbdac44,0,57,[1],1,7148,
246,sb26,48aac0ed-7f3f-4b2a-9ee9-795131d24377.recording,sb26-7fbdac44,0,335,[4],4,21390,
247,sb26,22407b34-bff1-44be-97e2-ba99986e24a0.recording,sb26-7fbdac44,0,364,[7],7,48406,
248,sb26,4ad15cb2-a6e4-4f6f-9457-3b64b1d7ec07.recording,sb26-7fbdac44,0,195,[6],6,26150,
249,cd82,eccc0126-e306-4e6e-8bff-3e76fef63777.recording,cd82-fb555c5d,1,226,[6],6,33333,
250,cd82,33f6b2f7-9e0d-41c5-ab94-5f929cdb85c1.recording,cd82-fb555c5d,0,354,[2],2,25939,
251,cd82,68939ee7-b3fe-40f6-9307-3f143ddf03d2.recording,cd82-fb555c5d,1,136,[6],6,28105,
252,cd82,627766f8-bfb7-4a25-ba48-ca4a555d63a6.recording,cd82-fb555c5d,1,158,[6],6,30547,
253,cd82,0c6d47d7-7bc3-40a6-97bd-9388d6411ebe.recording,cd82-fb555c5d,0,276,[2],2,12954,comparison
254,cd82,bac88f30-3772-4c39-8ed0-2b3fc6d8eab2.recording,cd82-fb555c5d,1,258,[6],6,39271,primary
255,cd82,52879352-3a32-4bde-a55d-075f1d2a5a3f.recording,cd82-fb555c5d,1,199,[6],6,33874,
256,cd82,acb3b87e-7c9d-4781-8515-b21fb3d41964.recording,cd82-fb555c5d,0,21,[0],1,5937,
257,cd82,73141bdd-24a4-4725-8c51-514e23f107eb.recording,cd82-fb555c5d,1,190,[6],6,19758,
258,cd82,130512d8-1d1b-4ee4-ab4b-9e0397fa6af8.recording,cd82-fb555c5d,1,153,[6],6,15140,
259,cd82,2e4399fe-f0f6-421d-bc32-7827ad792b96.recording,cd82-fb555c5d,1,124,[6],6,28566,
260,re86,ea40f804-1c1f-4db4-8354-8228ff01f8c2.recording,re86-8af5384d,1,1283,[8],8,56053,
261,re86,79ae6a3a-0101-454c-8ede-74c363f4ab2b.recording,re86-8af5384d,0,2280,[6],6,62488,
262,re86,27857e7d-0959-4d33-aa11-6be1a5d5b13f.recording,re86-8af5384d,1,1213,[8],8,61301,primary
263,re86,1bc8ef4d-deb5-423e-994d-87ceb5d7c496.recording,re86-8af5384d,1,1470,[8],8,52117,
264,re86,37442af6-3490-4416-96d5-01e71ddd9757.recording,re86-8af5384d,0,346,[2],2,13737,
265,re86,c3950c6c-21c9-4e5d-bd2a-fa9205cc29f1.recording,re86-8af5384d,0,356,[2],2,9915,
266,re86,0d461c1c-21e5-4dc8-b263-9922332a6485.recording,re86-8af5384d,1,1071,[8],8,44994,
267,re86,c9b181b2-6088-408a-8622-204fcb733b34.recording,re86-8af5384d,0,690,[6],6,42972,
268,re86,ed783823-e742-4ae5-a1f1-0a306fb42921.recording,re86-8af5384d,1,1033,[8],8,36660,
269,re86,dca94d28-b02d-450a-ad31-f421d9a94678.recording,re86-8af5384d,0,2247,[6],6,53366,
270,re86,953a2d9f-12d2-4131-90b6-e57f49d4288b.recording,re86-8af5384d,0,679,[2],2,16259,comparison
271,s5i5,95112af8-80f3-4b41-8412-c5b92839e113.recording,s5i5-18d95033,0,41,[1],1,7994,
272,s5i5,960b9124-1de0-4eb1-a916-bdc51474664c.recording,s5i5-18d95033,0,250,[2],2,11616,
273,s5i5,66d63c5e-5e2b-4c87-81c7-b46bd78a038b.recording,s5i5-18d95033,0,623,[4],4,21351,comparison
274,s5i5,157d3bc0-93da-449e-9186-67fc0402a9a4.recording,s5i5-18d95033,1,656,[8],8,40019,
275,s5i5,e9c797d3-363f-4f19-b532-9b5eb9a5eb75.recording,s5i5-18d95033,1,504,[8],8,45384,
276,s5i5,17941b1a-7e06-46d4-8bc4-5765a2a1656d.recording,s5i5-18d95033,1,752,[8],8,56773,
277,s5i5,8a528ea6-633f-421f-9ad2-a4cf2f10ddc7.recording,s5i5-18d95033,0,141,[2],2,11960,
278,s5i5,8cefd372-6a72-4bc3-b3c7-5549633cb615.recording,s5i5-18d95033,0,1468,[2],2,24833,
279,s5i5,2f21a731-87b0-4a78-b1a3-4e392c3433ea.recording,s5i5-18d95033,0,836,[7],7,49341,
280,s5i5,583978f2-3d54-48c6-a5ba-388bc6a05cc4.recording,s5i5-18d95033,0,585,[4],4,36346,
281,s5i5,4dd39f12-983c-471c-8821-0b01e55de6a1.recording,s5i5-18d95033,1,608,[8],8,69036,primary
282,ls20,94b39ad1-a025-4d18-a20a-a14eb2aa1b6a.recording,ls20-9607627b,0,854,[5],5,23047,comparison
283,ls20,5f1eac62-875c-4217-926d-97621ac7302f.recording,ls20-9607627b,0,20,[0],1,6965,
284,ls20,e37ece27-55a8-4841-8b2c-c6d1670d33c8.recording,ls20-9607627b,0,132,[1],1,8112,
285,ls20,cfe4acef-d6bc-499d-bede-0d397703362d.recording,ls20-9607627b,1,1169,[7],7,42224,primary
286,ls20,87e2495f-5010-4c20-bd86-b2ba231157d5.recording,ls20-9607627b,0,57,[0],1,5314,
287,ls20,34d098c6-df52-458c-b5ad-19cefeb75981.recording,ls20-9607627b,1,770,[7],7,31634,
288,ls20,8f03134f-a5f6-4b76-95b6-fd70fcb81ee1.recording,ls20-9607627b,1,593,[7],7,32118,
289,ls20,637215bb-389a-475e-83e3-53baf74c8104.recording,ls20-9607627b,0,310,[2],2,10483,
290,ls20,8aed7120-f7a9-45a1-837a-68bc7dc37a4f.recording,ls20-9607627b,1,546,[7],7,29687,
291,ls20,3f80c449-59bc-4ad7-9b3e-a8f88def78d8.recording,ls20-9607627b,1,1049,[7],7,41587,
292,ls20,af60632e-f620-4aac-87a6-21f4e90b7fbd.recording,ls20-9607627b,0,800,[1],1,11524,
293,ls20,6865b541-8885-4624-8c10-d31ba68c290a.recording,ls20-9607627b,0,807,[5],5,26595,
294,ls20,57630d5e-4a01-42b6-bda1-43ced11c5bd7.recording,ls20-9607627b,1,472,[7],7,30587,
295,ft09,f58b7fe2-aafd-414a-a1fb-74d4b3e717e0.recording,ft09-0d8bbf25,1,163,[6],6,24995,
296,ft09,70287c87-432e-447a-ba96-aa62780227c3.recording,ft09-0d8bbf25,0,47,[0],1,6582,
297,ft09,17938e15-217b-467c-91a3-a31aa638868a.recording,ft09-0d8bbf25,0,138,[2],2,9609,
298,ft09,193a1bf4-f858-4f5e-a5dc-8d8f4159b7fe.recording,ft09-0d8bbf25,1,384,[6],6,33850,primary
299,ft09,01f76fc7-c612-4006-8d08-c13ed0cb91de.recording,ft09-0d8bbf25,1,222,[6],6,27439,
300,ft09,3b1ce31a-0af9-41f3-858f-4ead42360d15.recording,ft09-0d8bbf25,1,149,[6],6,30784,
301,ft09,84d4f82f-a33b-4744-8fc8-d5fb0ec43ebc.recording,ft09-0d8bbf25,0,43,[1],1,6176,
302,ft09,f28bd7b8-3832-4b99-9583-5c7d8fdf93c4.recording,ft09-0d8bbf25,0,89,[3],3,15994,comparison
303,ft09,62ee83b0-5850-4a88-90af-693e9476507f.recording,ft09-0d8bbf25,0,103,[2],2,11405,
304,ft09,dd8d1c51-06ba-46c0-a444-b8fc097e878a.recording,ft09-0d8bbf25,0,13,[0],1,3366,
305,su15,cd48292b-a674-42cf-94d2-a19bd33065aa.recording,su15-1944f8ab,0,28,[1],1,5039,
306,su15,4be2291c-367e-4927-8b3f-f53aa17b9395.recording,su15-1944f8ab,0,469,[3],3,19872,
307,su15,93195a31-64bf-4dfc-aa44-2a1fb3569701.recording,su15-1944f8ab,0,90,[1],1,8082,
308,su15,20f8d100-ff47-420b-bf1d-3d239a255a77.recording,su15-1944f8ab,1,566,[9],9,60609,
309,su15,3a47010c-3f84-454b-b3cd-3464b8f4992f.recording,su15-1944f8ab,0,61,[1],1,6680,
310,su15,fdeab422-e1e4-43de-a2c0-6441b16ae748.recording,su15-1944f8ab,1,651,[9],9,61416,primary
311,su15,645988a9-6eef-4eb9-867d-e44ec93a6926.recording,su15-1944f8ab,0,398,[4],4,13207,
312,su15,c2bf26cf-eaed-4492-a715-73007e936022.recording,su15-1944f8ab,0,202,[4],4,16290,
313,su15,823b42ee-9e93-4658-92ae-00f0619f7c6c.recording,su15-1944f8ab,0,48,[1],1,6451,
314,su15,606d9b04-7bac-4892-b2e1-3072dea7062a.recording,su15-1944f8ab,0,505,[3],3,16874,comparison
315,su15,3d4cbfde-01a1-44c1-8e1a-3e93e7971ad0.recording,su15-1944f8ab,0,267,[4],4,13861,
316,su15,b25b9a41-aba6-4df4-b731-f77c9f1ffdcd.recording,su15-1944f8ab,0,59,[1],1,5867,
317,su15,274da438-5f61-4688-b290-5d927e6fbd77.recording,su15-1944f8ab,1,216,[9],9,33378,
318,tr87,64fc55eb-cf12-4824-ad15-2b908edfdecb.recording,tr87-cd924810,1,438,[6],6,51378,primary
319,tr87,c703a2d9-f8a3-4672-9f60-d06da8f62284.recording,tr87-cd924810,1,559,[6],6,28543,
320,tr87,c8042b0c-ffd4-4bab-b8c3-882d9a6bfa57.recording,tr87-cd924810,0,128,[0],1,6153,
321,tr87,a8d60184-988b-4e1f-a03f-3a9b3a6af90b.recording,tr87-cd924810,0,508,[5],5,17258,
322,tr87,147def87-0b0e-44f9-aa34-bdaf51d0cdb9.recording,tr87-cd924810,1,317,[6],6,21302,
323,tr87,713a3919-0f6a-4a6f-83b7-7910071937b9.recording,tr87-cd924810,1,301,[6],6,21636,
324,tr87,eb28c424-e3a7-443d-8b09-9fade27f19e2.recording,tr87-cd924810,0,379,[5],5,16800,
325,tr87,3c0b8607-d7d7-47ad-955b-77a6a2153bfc.recording,tr87-cd924810,0,298,[4],4,16444,
326,tr87,3519e988-59d8-433b-acee-6f98539352ad.recording,tr87-cd924810,1,688,[6],6,19541,
327,tr87,2c1d29bb-610b-4e95-a615-26e7ba13f812.recording,tr87-cd924810,0,678,[3],3,11914,
328,tr87,7a166e4a-5a18-4ab7-931a-c36f8c496697.recording,tr87-cd924810,1,448,[6],6,23822,
329,tr87,4808fbde-18ba-40da-bf0f-afc426077b11.recording,tr87-cd924810,0,520,[5],5,17269,comparison
330,g50t,0a967229-b557-44c1-8350-a74377558894.recording,g50t-5849a774,0,202,[0],1,11390,
331,g50t,c7e359dd-11e2-44e1-984a-9b38e794ae01.recording,g50t-5849a774,0,1000,[3],3,18093,comparison
332,g50t,3de1fb81-8541-4803-8624-5f5cb62dc78e.recording,g50t-5849a774,1,475,[7],7,35061,primary
333,g50t,c27295c4-6885-4157-b990-d6f9a6290a55.recording,g50t-5849a774,0,472,[2],2,16814,
334,g50t,1b6e7580-35a9-47bf-ac6d-0ed80f8c8513.recording,g50t-5849a774,0,152,[1],1,11393,
335,g50t,c71254fe-00b6-4ee2-b68a-941263eab37f.recording,g50t-5849a774,1,575,[7],7,44970,
336,g50t,8200b321-a2a4-4030-9ee6-ef9bfcfa5876.recording,g50t-5849a774,0,244,[1],1,7707,
337,g50t,686fbe44-90d9-47f6-8a6b-16493cfe3fe0.recording,g50t-5849a774,0,531,[2],2,19600,
338,g50t,9de391b3-3357-41e0-bafc-86793839ccc0.recording,g50t-5849a774,0,349,[1],1,9130,
339,g50t,08d5d2c0-3a61-449d-9de6-62ec5e253e29.recording,g50t-5849a774,0,446,[2],2,14870,
340,g50t,42e8affb-ab23-4535-9831-a8bb04a1131a.recording,g50t-5849a774,0,597,[2],2,16769,
341,g50t,224bacfb-31d3-43e7-9d72-976a6b540435.recording,g50t-5849a774,0,563,[3],3,20917,
